Marques
Amorim
Braga
Maia
Moraes
Bahia
Mezenga
Machado
Longuine
Baio
Pato
Santos
Barreto
Taddei
Silva
Costa
Fernandes
Carrilho
Ribeiro
Lima
Cardoso
Torres
Teles
Tocantins
Barra
Bastos
Maranhão
França
Andrade
Cariús
Villero
Leite
Jesus
Santana
Pimentinha
Morbeck
Ferreira
Henrique
Pelé
Skilo
Torrão
Sánchez
Leque
Vaz
Moura
Melo
Pedra
Cunha
Mineiro
Alves
Ligeiro
Martins
Cruz
Lomar
Santiago
Bispo
Maciel
Carvalho
Baiano
Ribamar
Curuá
Conceição
Barbosa
Gomes
Antonio
Julio
Camargo
Henrique
Prado
Mello
Rosa
Quirino
Chaves
Oliveira
Calazans
Carioca
Garcia
Forster
Lopes
Tanque
Jabá
Echaporã
Roque
Batista
Tontini
Siqueira
Mega
Rodrigues
Reis
Foguinho
Mantuan
Junior
Araújo
Rocha
Boff
Fialho
Braw
Timbó
Belém
Nunes
Bennech
Dias
Pilar
Lagoa
Paraíba
Souza
Sousa
Capixaba
Mutuca
Mascote
Tavares
Mira
Baracioli
Iguatu
Mardden
Campanelli
Sucuri
Recife
Ramos
Pinheiro
Pinheirinho
Rosas
Vilela
Trindade
Correa
Talisca
Valença
Farias
Reninha
Índio
Grafite
Jupi
Messias
Kallyel
Lessa
do Carmo
Soares
Baranhas
Peixoto
Gonzales
Bonete
Guêba
Morais
Deola
Diniz
Valoura
Palhinha
Pianissolla
Gaúcho
Potiguar
Didira
Rambo
Capela
Copete
Dinda
Alagoano
Prata
Viçosa
Sorín
Guedes
Lins
Junio
Xilú
Tanaka
Dizarro
Augusto
Moreira
Guthierres
Pecel
Palacios
Cazzetta
Magno
Beleti
Kiss
Palácio
Zotti
Gonçalves
Lagoa
Fornari
Valverde
Tchê
Ventura
Schwenck
Xavier
Moré
Magalhães
Hulk
Caldas
Ananias
Zambi
Jataí
Paulino
Tardelli
Arcanjo
Carrasco
Paulista
Totó
Medeiros
Magrão
Guarú
Felício
Klein
Apuã
Jacir
Jamari
Jutaí
Carijó
Guará
Jucá
Pari
Pirajá
